date,name,sex,country_killed,Local_Foreign,Type_death
28-Oct-07,Shehab Mohammad al-Hiti,Male,Iraq,Local,Murder
14-Oct-07,Salih Saif Aldin,Male,Iraq,Foreign,Murder
20-Sep-07,Muhannad Ghanem Ahmad al-Obaidi,Male,Iraq,Local,Murder
3-Sep-07,Amer Malallah al-Rashidi,Male,Iraq,Local,Murder
27-Jul-07,Adnan al-Safi,Male,Iraq,Local,Murder
16-Jul-07,Majeed Mohammed,Male,Iraq,Local,Murder
16-Jul-07,Mustafa Gaimayani,Male,Iraq,Local,Murder
13-Jul-07,Khalid W. Hassan,Male,Iraq,Foreign,Murder
12-Jul-07,Namir Noor-Eldeen,Male,Iraq,Foreign,Crossfire/Combat-Related
27-Jun-07,Sarmad Hamdi Shaker,Male,Iraq,Local,Murder
26-Jun-07,Hamid Abed Sarhan,Male,Iraq,Local,Murder
17-Jun-07,Filaih Wuday Mijthab,Male,Iraq,Local,Murder
11-Jun-07,Aref Ali Filaih,Male,Iraq,Local,Crossfire/Combat-Related
7-Jun-07,Sahar Hussein Ali al-Haydari,Female,Iraq,Local,Murder
6-Jun-07,Mohammad Hilal Karji,Male,Iraq,Local,Murder
30-May-07,Nazar Abdulwahid al-Radhi,Male,Iraq,Local,Murder
17-May-07,Saif Laith Yousuf,Male,Iraq,Local,Murder
17-May-07,Alaa Uldeen Aziz,Male,Iraq,Local,Murder
13-May-07,Suleiman Abdul-Rahim al-Ashi,Male,Israel and the OPT,Local,Murder
9-May-07,Raad Mutashar,Male,Iraq,Local,Murder
6-May-07,Dmitry Chebotayev,Male,Iraq,Foreign,Crossfire/Combat-Related
12-Apr-07,Khaled Fayyad Obaid al-Hamdani,Male,Iraq,Local,Crossfire/Combat-Related
6-Apr-07,Othman al-Mashhadani,Male,Iraq,Local,Murder
5-Apr-07,Khamail Khalaf ,Female,Iraq,Local,Murder
5-Apr-07,Thaer Ahmad Jaber ,Male,Iraq,Local,Murder
17-Mar-07,Hamid al-Duleimi,Male,Iraq,Local,Murder
7-Mar-07,Yussef Sabri,Male,Iraq,Local,Crossfire/Combat-Related
4-Mar-07,Mohan Hussein al-Dhahir,Male,Iraq,Local,Murder
24-Feb-07,Jamal al-Zubaidi,Male,Iraq,Local,Murder
5-Feb-07,Abdulrazak Hashim Ayal al-Khakani,Male,Iraq,Local,Murder
28-Jan-07,Hussein al-Zubaidi,Male,Iraq,Local,Murder
19-Jan-07,Hrant Dink,Male,Turkey,Local,Murder
15-Jan-07,Falah Khalaf al-Diyali,Male,Iraq,Local,Murder
5-Jan-07,Ahmed Hadi Naji,Male,Iraq,Local,Murder
12-Dec-06,Aswan Ahmed Lutfallah,Male,Iraq,Local,Murder
4-Dec-06,Nabil Ibrahim al-Dulaimi,Male,Iraq,Local,Murder
15-Nov-06,Luma al-Karkhi,Female,Iraq,Local,Murder
13-Nov-06,Muhammad al-Ban,Male,Iraq,Local,Murder
29-Oct-06,Naqshin Hamma Rashid,Female,Iraq,Local,Murder
